file,symbol,profile,decision_time,strategy,direction,actionability_state,replay_reason_code,execution_authorized,replay_class,candidate_count,confirmation_source,entry_confirmation_complete,higher_timeframe_conflict,continuation_state
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,5,best_available_candidate,,,
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,1,best_available_candidate,,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,1,best_available_candidate,,,
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BTWUSDT_environment_15m_20_20260722T180000Z.json,BTWUSDT,environment,2026-07-22T02:59:59.999000+00:00,momentum_breakout,short,aggressive_now,canonical_opportunity_pending_activation,False,conditional,1,setup_with_candidate_fallback,False,True,mature_continuation
BTWUSDT_environment_15m_20_20260722T180000Z.json,BTWUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BTWUSDT_environment_15m_20_20260722T180000Z.json,BTWUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
BTWUSDT_micro_1m_20_20260722T180000Z.json,BTWUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BTWUSDT_micro_1m_20_20260722T180000Z.json,BTWUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BTWUSDT_micro_1m_20_20260722T180000Z.json,BTWUSDT,micro,2026-07-22T17:39:59.999000+00:00,momentum_breakout,short,aggressive_now,canonical_opportunity_pending_activation,False,conditional,4,setup_with_candidate_fallback,False,True,mature_continuation
BTWUSDT_standard_5m_24_20260722T180000Z.json,BTWUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BTWUSDT_standard_5m_24_20260722T180000Z.json,BTWUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BTWUSDT_standard_5m_24_20260722T180000Z.json,BTWUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
BTWUSDT_standard_5m_24_20260722T180000Z.json,BTWUSDT,standard,2026-07-22T13:59:59.999000+00:00,momentum_breakout,short,execute_on_micro_confirmation,canonical_opportunity_pending_activation,False,conditional,4,setup_with_candidate_fallback,False,True,mature_continuation
BTWUSDT_standard_5m_24_20260722T180000Z.json,BTWUSDT,standard,2026-07-22T15:59:59.999000+00:00,,,,canonical_opportunity_missed_or_chasing,False,none,4,best_available_candidate,False,True,unavailable
BULLAUSDT_environment_15m_20_20260722T180000Z.json,BULLAUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
